k,x,y
Public Administration,19952.62314968879,1121.0
Public Administration,22387.21138568338,1744.0
Public Administration,25118.864315095823,899.0
Public Administration,28183.82931264455,890.0
Public Administration,31622.776601683792,679.0
Public Administration,35481.33892335753,558.0
Public Administration,39810.71705534969,772.0
Public Administration,44668.359215096345,1150.0
Public Administration,50118.72336272725,546.0
Public Administration,56234.13251903491,858.0
Public Administration,63095.7344480193,810.0
Public Administration,70794.57843841374,541.0
Public Administration,79432.82347242821,589.0
Public Administration,89125.0938133746,432.0
Public Administration,100000.0,516.0
Public Administration,112201.84543019629,360.0
Public Administration,125892.54117941661,214.0
Public Administration,141253.75446227554,171.0
Public Administration,158489.3192461114,81.0
Public Administration,177827.94100389228,50.0
Public Administration,199526.2314968879,26.0
Public Administration,223872.11385683378,19.0
Public Administration,251188.6431509582,3.0
Public Administration,281838.2931264455,5.0
Public Administration,316227.7660168379,2.0
Public Administration,398107.1705534969,1.0
Public Administration,446683.5921509635,1.0
Public Administration,501187.2336272725,6.0
Public Administration,562341.3251903491,6.0
Public Administration,630957.344480193,11.0
Construction,1995.2623149688789,43.0
Construction,2238.72113856834,279.0
Construction,2511.88643150958,111.0
Construction,2818.382931264455,444.0
Construction,3162.2776601683795,198.0
Construction,3548.133892335753,141.0
Construction,3981.0717055349733,525.0
Construction,4466.835921509631,1015.0
Construction,5011.872336272725,231.0
Construction,5623.413251903491,720.0
Construction,6309.57344480193,522.0
Construction,7079.457843841381,381.0
Construction,7943.282347242814,690.0
Construction,8912.509381337459,509.0
Construction,10000.0,1610.0
Construction,11220.18454301963,1232.0
Construction,12589.254117941662,832.0
Construction,14125.375446227554,1516.0
Construction,15848.93192461114,953.0
Construction,17782.794100389227,1258.0
Construction,19952.62314968879,3375.0
Construction,22387.21138568338,3745.0
Construction,25118.864315095823,2014.0
Construction,28183.82931264455,5201.0
Construction,31622.776601683792,4758.0
Construction,35481.33892335753,3349.0
Construction,39810.71705534969,6903.0
Construction,44668.359215096345,9761.0
Construction,50118.72336272725,4660.0
Construction,56234.13251903491,6147.0
Construction,63095.7344480193,5905.0
Construction,70794.57843841374,3996.0
Construction,79432.82347242821,5140.0
Construction,89125.0938133746,3330.0
Construction,100000.0,4505.0
Construction,112201.84543019629,2348.0
Construction,125892.54117941661,1446.0
Construction,141253.75446227554,1368.0
Construction,158489.3192461114,712.0
Construction,177827.94100389228,449.0
Construction,199526.2314968879,697.0
Construction,223872.11385683378,431.0
Construction,251188.6431509582,124.0
Construction,281838.2931264455,185.0
Construction,316227.7660168379,67.0
Construction,354813.3892335753,30.0
Construction,398107.1705534969,64.0
Construction,446683.5921509635,153.0
Construction,501187.2336272725,212.0
Construction,562341.3251903491,165.0
Construction,630957.344480193,49.0
Construction,707945.7843841374,36.0
Transportation and Warehousing,1995.2623149688789,42.0
Transportation and Warehousing,2238.72113856834,280.0
Transportation and Warehousing,2511.88643150958,133.0
Transportation and Warehousing,2818.382931264455,466.0
Transportation and Warehousing,3162.2776601683795,226.0
Transportation and Warehousing,3548.133892335753,180.0
Transportation and Warehousing,3981.0717055349733,497.0
Transportation and Warehousing,4466.835921509631,1062.0
Transportation and Warehousing,5011.872336272725,245.0
Transportation and Warehousing,5623.413251903491,621.0
Transportation and Warehousing,6309.57344480193,503.0
Transportation and Warehousing,7079.457843841381,331.0
Transportation and Warehousing,7943.282347242814,763.0
Transportation and Warehousing,8912.509381337459,522.0
Transportation and Warehousing,10000.0,1440.0
Transportation and Warehousing,11220.18454301963,1233.0
Transportation and Warehousing,12589.254117941662,824.0
Transportation and Warehousing,14125.375446227554,1522.0
Transportation and Warehousing,15848.93192461114,912.0
Transportation and Warehousing,17782.794100389227,1184.0
Transportation and Warehousing,19952.62314968879,2713.0
Transportation and Warehousing,22387.21138568338,3107.0
Transportation and Warehousing,25118.864315095823,1808.0
Transportation and Warehousing,28183.82931264455,3904.0
Transportation and Warehousing,31622.776601683792,3799.0
Transportation and Warehousing,35481.33892335753,2517.0
Transportation and Warehousing,39810.71705534969,4827.0
Transportation and Warehousing,44668.359215096345,6702.0
Transportation and Warehousing,50118.72336272725,3269.0
Transportation and Warehousing,56234.13251903491,4473.0
Transportation and Warehousing,63095.7344480193,4863.0
Transportation and Warehousing,70794.57843841374,3215.0
Transportation and Warehousing,79432.82347242821,3552.0
Transportation and Warehousing,89125.0938133746,2304.0
Transportation and Warehousing,100000.0,2673.0
Transportation and Warehousing,112201.84543019629,1344.0
Transportation and Warehousing,125892.54117941661,816.0
Transportation and Warehousing,141253.75446227554,673.0
Transportation and Warehousing,158489.3192461114,413.0
Transportation and Warehousing,177827.94100389228,315.0
Transportation and Warehousing,199526.2314968879,481.0
